country name;country code;metric;metric code;year;value
Brunei Darussalam;BRN;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;16.8434576876675
Brunei Darussalam;BRN;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;0.7
Brunei Darussalam;BRN;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;3.95995998382568
Brunei Darussalam;BRN;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Brunei Darussalam;BRN;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Brunei Darussalam;BRN;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;30164748351.4397
Bulgaria;BGR;GDP per capita (constant 2015 US$);NY.GDP.PCAP.KD;1990;4431.02891762801
Bulgaria;BGR;Gini index;SI.POV.GINI;1990;
Bulgaria;BGR;Unemployment, total (% of total labor force) (modeled ILO estimate);SL.UEM.TOTL.ZS;1990;
Bulgaria;BGR;Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita);EN.GHG.CO2.PC.CE.AR5;1990;9.18209983633256
Bulgaria;BGR;Renewable energy consumption (% of total final energy consumption);EG.FEC.RNEW.ZS;1990;1.8
Bulgaria;BGR;Government expenditure on education, total (% of GDP);SE.XPD.TOTL.GD.ZS;1990;4.45406007766724
Bulgaria;BGR;Current health expenditure per capita (current US$);SH.XPD.CHEX.PC.CD;1990;
Bulgaria;BGR;Individuals using the Internet (% of population);IT.NET.USER.ZS;1990;0
Bulgaria;BGR;GNI, PPP (constant 2021 international $);NY.GNP.MKTP.PP.KD;1990;
